,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Title_Capt.,Title_Col.,Title_Don.,Title_Dr.,Title_Major.,Title_Master.,Title_Misc.,Title_Miss.,Title_Mr.,Title_Mrs.,Title_Ms.,Title_Rev.
0,3,22.0,1,0,7.25,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,1,38.0,1,0,71.2833,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,3,26.0,0,0,7.925,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3,1,35.0,1,0,53.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4,3,35.0,0,0,8.05,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5,3,28.724890829694324,0,0,8.4583,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
6,1,54.0,0,0,51.8625,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7,3,2.0,3,1,21.075,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8,3,27.0,0,2,11.1333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9,2,14.0,1,0,30.0708,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,3,4.0,1,1,16.7,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
11,1,58.0,0,0,26.55,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
12,3,20.0,0,0,8.05,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
13,3,39.0,1,5,31.275,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
14,3,14.0,0,0,7.8542,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
15,2,55.0,0,0,16.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
16,3,2.0,4,1,29.125,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
17,2,32.76829268292683,0,0,13.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
18,3,31.0,1,0,18.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
